label,text
health,SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied at 1 5 and 9 hours 
health,The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose and physical features including generalized hirsutism monodactyly syndactyly and clinodactyly 
health,Dyskinesias occur in the majority of patients with PARKINSON S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1 2 3 6 tetrahydropyridine MPTP and L DOPA treatment 
health,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN 2 ng kg body weight in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia 
health,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS
health,During ERGONOVINE test a patient with PRINZMETAL ANGINA presented in I aVL V3 V6 ST downsloping which after a temporary phase of alternative normalization AST beat to beat in V5 progressed to ST upsloping with typical angina 
health,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS
health,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis 
health,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION
health,Therefore although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract 
health,A chest x ray showing a large tumor like opacity in the left lower lobe and endoscopy visualizing a budding mass suggested a diagnosis of BRONCHIAL CARCINOMA in a 55 year old tobacco smoking Cambodian who consulted for HEMOPTYSIS and altered general status 
health,Maximum velocity and amplitude of repetitive 1 per second 30 degrees saccadic eye movements were quantitatively assessed for 4 minutes before and after INTRAVENOUS EDROPHONIUM CHLORIDE as a diagnostic test for MYASTHENIA GRAVIS
health,Taken together these data suggest that African green monkeys with SPONTANEOUSLY ELEVATED BP may be a useful experimental model for particular types of human HYPERTENSION
health,The objective of this study is to perform a cost effective analysis of 86 patients with RHEUMATOID ARTHRITIS in therapy with ADALIMUMAB 40 mg every other week and etanercept 50 mg week for two years in a population of patients observed in clinical practice 
health,AZATHIOPRINE is an immunosuppressive drug that is used to treat RHEUMATOID ARTHRITIS
health,The therapeutic results of Lp TAE transcatheter arterial embolization in the presence or absence of Gelfoam particles preceded by the infusion of a mixture of lipiodol and an anticancer drug via the proper hepatic artery or DSM TAE transcatheter arterial embolization with degradable starch microspheres and the arterial injection of anticancer drugs via the hepatic artery combined with HYPERTHERMIA were evaluated in 30 patients with HEPATOCELLULAR CARCINOMA HCC 5 subjects with hepatic cholangiocarcinoma and 22 patients with metastatic liver carcinoma 
health,Thus the present data support the hypothesis that the therapeutic effects of CLOZAPINE in this primate model and perhaps in SCHIZOPHRENIA may be related at least in part to the restoration of DA tone in the prefrontal cortex 
health,The incidence of SYMPTOMATIC URINARY TRACT INFECTION also decreased during treatment with METHENAMINE HIPPURATE
health,trial Lancet Acupuncture in patients with osteoarthritis of the knee a randomised trial New England Journal of Medicine Glucosamine chondroitin sulfate and the two in combination for painful knee osteoarthritis Osteoarthritis and Cartilage A randomized placebo controlled cross over study of ginger extracts and ibuprofen in osteoarthritis Rheumatic Diseases Clinics of North America Homeopathy and rheumatic disease Rheumatology Oxford A randomized double blind placebo controlled trial of GLUCOSAMINE SULPHATE as an analgesic in OSTEOARTHRITIS OF THE KNEE Review Alternative Medicine Review Natural treatments for osteoarthritis Arthritis and 
health,LEPROSY hanseniasis is caused by chronic infection with MYCOBACTERIUM LEPRAE M leprae 
health,YERSINIA PESTIS the causative agent of PLAGUE has a feature of forming multicellular aggregates at liquid air interface around the wall of glass tube 
health,Using standardised computer assisted face to face interviews we determined and compared the prevalence of doctor diagnosed ATOPIC DISEASES hay fever asthma ATOPIC DERMATITIS in the study subjects and veterinarian diagnosed allergies in their pets 
health,Treatment of REFRACTORY DIARRHOEA in AIDS with acetorphan and OCTREOTIDE a randomized crossover study 
health,17of 18 women with hirsutism treated with combination therapy of FLUTAMIDE 250 mg twice daily and an oral contraceptive pill had a rapid and marked reduction in their HIRSUTISM score 
health,These data suggest that subclinical RIBOFLAVIN DEFICIENCY may occur in adolescents and that deficiency may be related to dietary intake of RIBOFLAVIN
health,Patients with a history of BEESTING ALLERGY may have a higher risk of a HYPERSENSITIVITY REACTION with paclitaxel treatment 
health,With successful treatment of the patient s depression with IMIPRAMINE the tremors disappeared but slowly began again after drug noncompliance resulted in recurrence of DEPRESSION 
health,Removal of PHEOCHROMOCYTOMA may also cure HYPERTENSION 77 
health,The trends in tuberculin reactions of Mantoux test 2 TU performed annually before and after the diagnosis of TUBERCULOSIS shows that the risk groups consist of subjects with increasing TUBERCULIN SENSITIVITY and those susceptible to acute respiratory virus infections 
health,When the menstrual cycle is altered FERTILITY is reduced and medical conditions such as osteoporosis and ENDOMETRIAL HYPERPLASIA can result 
health,The term INFLAMMATORY BOWEL DISEASE IBD represents different phenotypes of the idiopathic chronic inflammatory disease of GASTROINTESTINAL TRACT
health,In patients with internal ophthalmoplegia awareness of the possibility of PHARMACOLOGIC MYDRIASIS and correct use of TOPICAL PILOCARPINE testing can preclude the necessity for neuroradiologic and invasive diagnostic studies even in cases with atypical or complex presentations 
health,These results suggest that the CSH induced long term inhibition of KINDLED SEIZURES is the result of an interaction between the MYOCLONIC SEIZURE and a subsequent kindled seizure 
health,The autologous membrane bound antibodies strongly recognized cell surface antigens on four human ovarian cell lines and four surgical specimens of human OVARIAN ADENOCARCINOMA but did not react with normal human OVARIES non ovarian normal and neoplastic tissues or non ovarian human cell lines by indirect immunofluorescence assay 
health,It might take at least 12 days when the pH of nitrite solution is lowered for the concentration of NO to reach a level sufficiently high to activate guanylyl cyclase and so it seems unlikely that naturally circulating nitrite is involved in vasodilation in ischemic tissue through its conversion into NO It is more realistic to consider that NO is produced at biologically significant concentrations from nitrite in PERSPIRATION on the SKIN
health,The clinical features of the disease were morning stiffness pain and limitation of motion of the dorsolumbar spine in four of the five members associated with arthritis of the SMALL JOINTS OF THE HANDS in three shoulder periARTHRITIS in two and costal cartilage pain in one 
health,The patients were enrolled into three different programmes a 14 week LEARN programme 672 patients a 16 week MOB programme for the morbidly obese 259 patients or a 20 WEEK BINGE PROGRAMME for subjects affected by BINGE EATING 137 patients 
health,As therapeutic agents of choice in the treatment of complicated infections glycopeptide antibiotics are often preferentially used in cases of OSTEOMYELITIS an infection located in BONE and notoriously difficult to successfully manage 
health,It has been reported that JOINT EFFUSION the excessive accumulation of joint fluid in and around the JOINT is related to temporomandibular joint TMJ disorders such as pain and disk displacement 
health,High dose aspirin use has been associated with increased GASTROINTESTINAL BLEEDING in patients with PV
health,of intraarticular hyaluronan in osteoarthritis of the knee Comparison of the analgesic efficacy and safety of nonprescription doses of naproxen sodium and ibuprofen in the treatment of osteoarthritis of the knee Lancet Comparison of lumiracoxib with NAPROXEN and ibuprofen in the Therapeutic Arthritis Research and Gastrointestinal Event Trial TARGET cardiovascular outcomes randomised controlled trial Pathogenesis and management of pain in OSTEOARTHRITIS Acupuncture in patients with osteoarthritis of the knee a randomised trial Assessment of upper gastrointestinal safety of etoricoxib and diclofenac in patients with osteoarthritis and rheumatoid arthritis in the Multinational Etoricoxib and Diclofenac Arthritis 
health,The duration and severity of BA the presence of allergy determined by skin tests and the BRONCHIAL HYPERREACTIVITY to METHACHOLINE inhalation challenge were observed on the first day of study 
health,On the other hand PRIMARY SKIN DISEASES such as PSORIASIS atopic dermatitis acune vulgaris chronic idiopathic urticaria and alopecia areata may induce psychologic features 
health,We describe a patient with cutaneous melanosis who presented with NEUROLOGICAL SYMPTOMS due to a large PRIMARY MENINGEAL MELANOMA
health,Fontaine R Chouinard G An open clinical trial of FLUOXETINE in the treatment of OBSESSIVE COMPULSIVE DISORDER
health,ANTIANGINAL EFFICACY was assessed with ANGINA DIARES investigators and patients global evaluations and with treadmill exercise test during placebo run in period and after 8 weeks of the therapy 
health,In most cases of small cell LUNG CARCINOMAS SCLC phenotypic features compatible with a NEUROENDOCRINE DIFFERENTIATION status can be identified by monoclonal MOC antibody based immunohistological procedures 
health,A 29 year old man with a marfanoid habitus peculiar mucosal neuromas of the lips and tongue high arched palate hyperplastic CORNEAL NERVES AND HYPERTENSION was found at operation to have medullary carcinoma of the thyroid PARATHYROID HYPERPLASIA AND PHEOCHROMOCYTOMA
health,The aim of this study was to evaluate the effect of milk supplemented with PROBIOTIC BACTERIA and fluoride on CARIES development and general health in preschool children 
health,Adherence to a GLUTEN FREE DIET in patients with CELIAC DISEASE can lead to the correction of iron deficiency anemia and the replacement of iron stores and it can prevent the recurrence of iron deficiency 
health,It was concluded 1 that CFI values were reduced following a minor adjustment to the fluoride concentration in drinking water 2 that dental fluorosis develops during the maturation stage of enamel development 3 that the development of DENTAL FLUOROSIS may occur over a period of 16 to 24 months commencing from 12 to 32 months following enamel secretion and 4 that Dean s index is a suitable instrument for monitoring the effects on dental fluorosis of minor adjustments to the FLUORIDE concentration in drinking water 
health,The appearance of NONTHROMBOCYTIC PURPURA is an important clue for the diagnosis of HENOCH SCHONLEIN PURPURA HSP 
health,SEPSIS refers to a SYSTEMIC INFLAMMATORY RESPONSE SYNDROME resulting from a microbial infection 
health,Disturbances in tracheal MUCOUS TRANSPORT DURING VIRUS INFECTION appear to depend upon the type of virus and are most severe in influenza A and respiratory syncytial VIRUS infection 
health,The simple hyperplasia predominates in the perimenopause while the ENDOMETRIAL CARCINOMA was the most frequent cause for METRORRHAGIA in the postmenopausal women 
health,Ondansetron was superior to high dose metoclopramide in controlling ACUTE EMESIS and nausea and there was a significant patient preference for ONDANSETRON
health,The types of malnutrition caused by DEFICIENCY and the most frequently encountered in the developing countries are PROTEIN CALORIE MALNUTRITION avitaminoses and mineral and iron deficiencies 
health,A combination of various kinds of ALLERGIC REACTIONS of both the specific immediate type and of the local reaction of HYPERSENSITIVITY of the slow type plays its role in the development of acute appendicitis 
health,Gourlay GK Kowalski SR Plummer JL et al The efficacy of transdermal fentanyl in the treatment of POSTOPERATIVE PAIN a double blind comparison of FENTANYL and placebo systems 
health,TUBERCULOSIS was excluded by TUBERCULIN TESTING and bronchoalveolar lavage in both cases 
health,MECHANICALLY INDUCED HYPERVENTILATION is used in the treatment of newborn infants with persistent pulmonary hypertension syndrome to induce RESPIRATORY ALKALOSIS which may attenuate their pulmonary vasoconstriction 
health,Dunner DL Cohn JB Walshe T et al Two combined multicenter double blind studies of paroxetine and DOXEPIN in geriatric patients with major DEPRESSION
health,Serum or ASCITES ALPHA FETOPROTEIN AFP from patients with HEPATOCELLULAR CARCINOMA and from a cord blood were analyzed by affinity electrophoresis with two lectins mixed in agarose gel in a combination of concanavalin A Con A and Lens culinaris agglutinin A LCA A or of erythroagglutinating phytohemagglutinin E PHA and Allomyrina dichotoma lectin allo A 
health,Sixteen cirrhotic patients with SUPERIMPOSED HEPATOCELLULAR CARCINOMA in whom ASCITES was of uncertain etiology were considered separately 
health,The efficacy and tolerability of a fixed combination of 5 mg of cilazapril and 12 5 mg of HYDROCHLOROTHIAZIDE against HYPERTENSION was evaluated in 36 patients 26 men and 10 women between 33 68 years old 
health,Eleven patients with LEUKEMIA refractory to conventional therapy were treated with high doses of CYTARABINE 3 g m2 intravenously every 12 hours for six days followed by daunorubicin 30 mg m2 day intravenously for three days 
health,The authors report a case of PHEOCHROMOCYTOMA revealed by a de novo appeared HYPERTENSION in a young female patient at her 3rd trimester of pregnancy 
health,Phase III study of concurrent biochemotherapy with cisplatin vinblastine dacarbazine interleukin 2 and interferon alfa 2b versus cisplatin vinblastine and DACARBAZINE alone in patients with METASTATIC MALIGNANT MELANOMA summary last modified 10 1999 
health,Depletion of T gamma cells from in vitro cell culture consistently and selectively increased TUBERCULIN responsiveness of T cells from patients with TUBERCULOSIS
health,When topically applied to the eye before allergen exposure ocular sodium cromoglycate prevents many of the signs and symptoms associated with TYPE I ALLERGIC REACTIONS which includes hayfever acute allergic and chronic allergic conjunctivitis and VERNAL KERATOCONJUNCTIVITIS and giant papillary conjunctivitis 
health,In many aspects respiratory allergies i e ALLERGIC ASTHMA and rhinitis represent the hallmarks of ALLERGY
health,Analysis of hereditary PHEOCHROMOCYTOMA two gene tests are established detection of MULTIPLE ENDOCRINE NEOPLASIA TYPE 2 MEN 2 using mutational analysis of RET gene and detection of von Hippel Lindau syndrome using mutational analysis of VHL gene 
health,Although this is more technically demanding for patients with haemophilia A because of the greater complexity of the FACTOR VIII GENE the recent description of X chromosome inversions as a cause of severe HAEMOPHILIA A in almost 50 of patients has led to the ready detection of these inversions in such families with associated precise carrier detection 
health,Apoptosis and its dysregulation have been implicated in dysplastic and ineffective hematopoiesis and the neoplastic transformation of BONE MARROW in MYELODYSPLASTIC SYNDROME MDS 
health,Physiological role and occurrence of iodine in the organism was reviewed moreover ALLERGIC REACTIONS caused by iodine containing chemicals IODINE AND TROPOMYOSINE ALLERGY
health,EPITHELIAL OVARIAN CANCER EOC arises from the epithelial layer covering the surface of OVARIES and i p 
health,According to an expert review POSTOPERATIVE HYPERTENSION occurs in up to 50 of patients after PHEOCHROMOCYTOMA RESECTION 29 
health,Prognosis In most cases that begin with a small number of patches of hair loss hair grows back after a few months to a year 8 In cases with a greater number of patches hair can either grow back or progress to alopecia totalis or in rare cases universalis 8 Effects of ALOPECIA AREATA are mainly psychological loss of self image due to HAIR LOSS 
health,The specificity of these antibodies was tested by immunoblotting with a panel of crude protein antigens from 12 bacteria causing enteric fever and ENTERIC FEVER like illness S TYPHI S paratyphi A S paratyphi B S paratyphi C S choleraesuis S enteritidis S krefeld S panama S typhimurium Escherichia coli Pseudomonas pseudomallei and Yersinia enterocolitica 
health,BC Specific recommendation Obtain joint fluid from the affected JOINT in all cases of suspected SEPTIC ARTHRITIS
health,Combinations of symptoms can be of value 2 or more symptoms from the triad of HEADACHE palpitations and diaphoresis were present in the majority of pheochromocytoma patients but in a smaller number of non PHEOCHROMOCYTOMA patients 
health,After an outbreak of hepatitis in Washington D C in 1970 among a group of persons taking isoniazid to prevent TUBERCULOSIS an ISONIAZID surveillance study was conducted among 13 838 persons in 21 participating health departments 
health,The screening usually consists of measuring thyroxin in dried blood spot specimens followed by measurement of thyrotropin if the results for THYROXIN are suggestive of HYPOTHYROIDISM
health,An important fraction of the patients admitted to NC as well as to OC and ENTC for HEADACHE and or other complaints were found out to have MIGRAINE by means of a simple screening test 
health,We present a rare case of an adult patient without SEIZURES who is found to have a GANGLIOGLIOMA occurring in the cerebellopontine angle 
health,Tobramycin 0 3 dexamethasone 0 1 significantly decreased clinical signs of ocular inflammation ie blepharitis discharge conjunctivitis and TOTAL OCULAR INFLAMMATION scores when compared with TOBRAMYCIN 03 LOTEPREDNOL 05 in patients with moderate to severe blepharo keratoconjunctivitis 
health,Nevertheless immunosuppressive therapy pulse IV methylprednisolone followed by ORAL PREDNISONE AND CYCLOPHOSPHAMIDE can be given to attempt to control INFLAMMATION in patients who develop severe renal disease 
health,Studies have shown that SUBCUTANEOUS TERIPARATIDE 20 microg day is effective in women with POSTMENOPAUSAL OSTEOPOROSIS men with idiopathic or hypogonadal osteoporosis and patients with glucocorticoid induced osteoporosis 
health,MASTOCYTOSIS is a heterogeneous group of disorders characterized by mast cell HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH nodes gastrointestinal tract and skin 
health,No beta A4 amyloid plaques or CAA were found in six marmosets who were older than the injected animals in four marmosets that had not developed spongiform encephalopathy SE having been injected several years previously with HUMAN BRAIN TISSUE from three younger patients with SUSPECTED OR ATYPICAL PRION DISEASE or in 10 younger marmosets who had undergone various neurosurgical procedures 
health,We compared the changes of non specific BRONCHIAL HYPERREACTIVITY to METHACHOLINE UNDW and exercise in 2 groups of patients with mite asthma treated with local immunotherapy LIT group 12 patients and subcutaneous immunotherapy SIT group 8 patients for 1 year 
health,Head up tilt table testing either alone or with a graded dose infusion of ISOPROTERENOL is a useful diagnostic test for identifying persons who are susceptible to VASOVAGAL SYNCOPE
health,We conclude that this histopathologic feature in PALMAR LICHEN NITIDUS could be the result of the superimposition of lichen nitidus on NORMAL PALMAR SKIN resulting in a picture resembling hypertrophic lichen planus 
health,The elderly are predisposed to ADVERSE DRUG REACTIONS because of age related physiologic changes interaction of one drug with another and interaction between a DRUG and a coexisting medical condition 
health,He took a 1 mg tablet of DOXAZOSIN daily for mild HYPERTENSION
health,INSULIN PEPTIDE B9 23 is a major autoantigen in TYPE 1 DIABETES
health,Atropine and pralidoxime are the most useful ANTIDOTES in the treatment of OP POISONING
health,In 38 patients with PARKINSON S SYNDROME Madopar preparation was used L DOPA WITH PERIPHERAL DECARBOXYLASE inhibitor in 33 cases as the main drug and in 5 cases as an addition to L dopa 
health,Quantitative counts of ferruginous bodies were performed on digests of LUNGS from 100 control and 30 LUNG CANCER patients 
health,A case of a 43 year old woman with SEVERE SUSTAINED HYPERTENSION resistant to many antihypertensive drugs frequent HYPERTENSIVE CRISIS and symptoms suggestive of pheochromocytoma symptomatic triad is presented 
health,A sample of 1 824 schoolchildren was randomly assigned to either the SODIUM FLUORIDE dentifrice or the stannous fluoride dentifrice and examined clinically and radiographically for DENTAL CARIES initially and after one two and three years of dentifrice usage 
health,The presence of MICROVASCULAR PROLIFERATION leads to the histological diagnosis of GLIOBLASTOMA MULTIFORME 
health,Serial addition to 3 or more antiepileptic drugs is less likely to lead to SEIZURE freedom for patients with difficult to treat EPILEPSY
health,The inadequacy of the 4 aminoquinolines for protection against latent BENIGN TERTIAN MALARIA is noted and the use of PRIMAQUINE is recommended 
health,However the patients with extensive intestinal metaplasia of the STOMACH belong to the high risk group for the GASTRIC CANCER
health,Acute idiopathic thrombocytopenic purpura is the most common cause of thrombocytopenia in childhood and diagnosis of IDIOPATHIC THROMBOCYTOPENIC PURPURA is made clinically based on the exclusion of other causes of THROMBOCYTOPENIA 
